Number of Military and DoD Appropriated Fund (APF) Civilian Personnel Permanently Assigned,,,,,,,,,,,,,,,,,,,,,,
By Duty Location and Service/Component,,,,,,,,,,,,,,,,,,,,,,
"As of September 30, 2019",,,,,,,,,,,,,,,,,,,,,,
"Sources: Active Duty Master File, Reserve Common Components Personnel Data System (RCCPDS) File, Appropriated Fund (APF) Civilian Master File",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LOCATION,DUTY STATE / COUNTRY,ACTIVE DUTY,,,,,,NATIONAL GUARD / RESERVE,,,,,,,,APF DOD CIVILIAN,,,,,,GRAND TOTAL
,,ARMY,NAVY,MARINE CORPS,AIR FORCE,COAST GUARD,TOTAL,ARMY NATIONAL GUARD,ARMY RESERVE,NAVY RESERVE,MARINE CORPS RESERVE,AIR NATIONAL GUARD,AIR FORCE RESERVE,COAST GUARD RESERVE,TOTAL,ARMY,NAVY,MARINE CORPS,AIR FORCE,4TH ESTATE (DOD),TOTAL,
UNITED STATES,ALABAMA,"4,749",65,144,"3,405",940,"9,303","9,628","4,695",292,577,"2,418","1,415",104,"19,129","18,298",110,4,"2,376","3,584","24,372","52,804"
,ALASKA,"9,803",44,19,"7,455","1,934","19,255","1,636",312,77,65,"2,139",368,45,"4,642","2,318",6,0,"2,327",287,"4,938","28,835"
,ARIZONA,"4,525",395,"4,050","10,711",7,"19,688","5,199","3,464","1,076",561,"2,539","2,543",1,"15,383","3,802",180,495,"3,380","1,229","9,086","44,157"
,ARKANSAS,144,9,170,"3,380",19,"3,722","6,650","1,709",150,121,"1,903",392,0,"10,925","2,367",8,0,"1,002",101,"3,478","18,125"
,ARMED FORCES EUROPE,0,1,1,0,0,2,0,"1,253",0,0,0,0,0,"1,253",0,0,0,0,0,0,"1,255"
,ARMED FORCES PACIFIC,0,0,0,0,0,0,0,406,0,0,0,0,0,406,0,0,0,0,0,0,406
,CALIFORNIA,"7,179","75,138","56,256","18,633","4,863","162,069","13,163","16,524","8,844","5,388","4,802","7,611",789,"57,121","9,188","34,627","4,605","9,787","6,142","64,349","283,539"
,COLORADO,"25,818",800,231,"8,966",47,"35,862","3,786","3,611","1,016",506,"1,693","3,211",18,"13,841","4,362",95,3,"5,557","1,415","11,432","61,135"
,CONNECTICUT,117,"5,090",59,37,711,"6,014","3,630","1,234",459,271,"1,171",1,98,"6,864",517,"1,174",0,181,666,"2,538","15,416"
