Date,Location,Army_Active_Duty,Navy_Active_Duty,Marine_Corps_Active_Duty,Air_Force_Active_Duty,Coast_Guard_Active_Duty,Army_National_Guard,Army_Reserve,Navy_Reserve,Marine_Corps_Reserve,Air_National_Guard,Air_Force_Reserve,Coast_Guard_Reserve,Army_APF_DOD_Civilian,Navy_APF_DOD_Civilian,Marine_Corps_APF_DOD_Civilian,Air_Force_APF_DOD_Civilian,Fourth_Estate_DOD
12/1/2013,ALABAMA,4429,100,147,2870,939,10515,5266,350,657,2252,1275,173,18717,92,6,2368,3453
12/1/2013,ALASKA,12433,40,17,7127,1906,1867,423,69,41,1995,398,57,2188,27,0,2252,317
12/1/2013,ARIZONA,4526,369,4556,9866,8,5044,3202,830,568,2445,1568,0,4256,178,468,3057,1146
12/1/2013,ARKANSAS,119,9,181,5142,22,7553,2027,177,169,1774,575,1,2357,9,0,1072,97
12/1/2013,ARMED FORCES EUROPE,0,0,0,0,0,0,1033,0,0,0,0,0,0,0,0,0,0
12/1/2013,ARMED FORCES PACIFIC,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0
12/1/2013,CALIFORNIA,7732,66530,60554,19157,4737,15631,15329,8774,4685,4390,7876,1048,9029,29454,4989,10166,6190
12/1/2013,COLORADO,23275,698,222,8806,46,3893,3434,936,418,1607,2821,19,4129,67,3,6030,1368
12/1/2013,CONNECTICUT,101,6187,61,30,694,3584,1239,359,279,1148,4,97,515,1068,1,236,635
12/1/2013,DELAWARE,44,22,22,3345,42,1338,577,97,162,1144,1677,8,273,2,2,1080,67
12/1/2013,DISTRICT OF COLUMBIA,1830,2589,2209,1824,1414,1365,608,117,396,1244,288,108,1435,9786,51,345,739
12/1/2013,FLORIDA,5434,25953,4817,22037,4837,9712,9488,6183,1334,1978,6104,1041,3873,11258,245,11881,2067
12/1/2013,GEORGIA,51313,5747,1356,8831,497,10815,7706,1520,1020,2593,3085,102,11868,2073,2234,14744,2985
