fips_code,total
01013,22
01015,20
01019,36
01025,8
01027,16
01047,94
01057,25
01059,22
01063,19
01067,42
01071,31
01073,15
01081,51
01089,16
01093,47
01095,23
01099,10
01101,22
01117,27
01129,40
05007,37
05009,26
05013,20
05015,94
05021,16
05033,30
05039,94
05047,22
05055,19
05061,20
05067,31
05069,15
05071,269
05077,51
05087,16
05089,47
05095,10
05097,22
05113,623
05127,298
05139,18
05141,7
05143,40
06023,14
08001,4
08043,6
08057,31
08059,15
08121,40
12013,20
12019,16
12037,22
12047,13
12063,31
12065,15
12071,51
12079,16
12083,47
12087,10
12097,21
12105,623
12123,13
12125,18
12133,40
13037,20
13045,94
13057,36
13059,8
13061,16
13063,22
13079,30
13087,6
13113,25
13115,23
13119,22
13133,19
13141,29
13151,42
13157,31
13159,53
13163,15
13167,269
13169,47
13177,51
13195,16
13197,47
13205,17
13207,10
13209,22
13233,623
13269,13
13291,18
13301,34
13303,40
13305,9
13307,58
13321,13
16003,4
16041,22
16043,6
16051,15
16065,16
16087,40
17001,4
17007,26
17013,20
17015,94
17017,18
17025,16
17027,99
17033,30
17051,25
17055,22
17061,19
17063,24
17065,13
17067,29
17069,26
17073,42
17077,31
17079,53
17081,15
17087,269
17103,51
17119,16
17121,47
17123,23
17133,10
17135,22
17171,298
17173,27
17181,18
17187,34
17189,40
17191,9
17201,29
18001,4
18007,37
18011,26
18015,94
18017,18
18021,16
18023,99
18025,30
18031,6
18035,40
18041,25
18043,23
18047,22
18055,19
18057,13
18059,29
18061,34
18065,42
18067,20
18071,31
18073,53
18077,15
18081,269
18095,16
18097,47
18099,23
18105,10
18107,22
18143,298
18145,27
18161,18
18171,34
18175,40
18177,9
19001,17
19003,4
19005,30
19007,15
19009,12
19011,37
19013,214
19015,26
19017,54
19019,47
19021,41
19023,22
19025,20
19027,94
19029,18
19031,37
19033,93
19035,36
19037,22
19039,8
19041,16
19043,22
19045,99
19047,30
19049,94
19051,9
19053,6
19055,40
19057,105
19059,54
19061,289
19063,27
19065,25
19067,23
19069,22
19071,6
19073,19
19075,24
19077,15
19079,13
19081,29
19083,26
19085,34
19087,42
19089,20
19091,14
19093,12
19095,25
19097,31
19099,53
19101,15
19103,269
19105,47
19107,26
19109,51
19111,51
19113,401
19115,15
19117,9
19119,19
19121,16
19123,28
19125,47
19127,23
19129,19
19131,17
19133,26
19135,10
19137,22
19139,53
19143,21
19145,27
19147,21
19149,50
19151,21
19153,623
19155,75
19157,24
19159,11
19161,29
19163,298
19165,27
19167,67
19169,68
19171,18
19173,13
19175,18
19177,7
19179,28
19181,34
19183,40
19185,9
19187,58
19189,29
19191,40
19193,137
19195,13
19197,14
20015,22
20021,36
20027,16
20037,30
20039,6
20041,54
20059,22
20075,13
20085,31
20087,15
20091,269
20107,401
20111,19
20115,47
20117,23
20123,17
20125,22
20171,298
20201,40
21001,17
21015,26
21031,22
21041,94
21051,16
21053,99
21067,25
21071,23
21073,22
21091,29
21093,26
21097,34
21103,42
21109,31
21111,15
21115,269
21129,51
21143,19
21151,16
21155,47
21157,23
21171,10
21173,22
21209,298
21211,27
21217,13
21225,18
21227,34
21229,40
21231,9
21233,58
22041,22
22049,31
22051,15
22065,16
22111,18
22117,40
22119,58
23007,22
23009,29
23029,40
24013,94
24027,20
24031,22
24043,40
25011,22
25023,50
26025,20
26027,18
26037,99
26039,30
26043,54
26047,27
26075,31
26115,10
26133,21
26159,7
26163,9
27009,37
27021,18
27027,16
27063,31
27083,19
27089,23
27119,623
27139,298
27163,40
27171,14
28001,4
28009,37
28013,20
28015,94
28017,22
28023,8
28025,16
28037,22
28041,19
28045,29
28047,34
28059,31
28061,53
28063,15
28067,47
28081,51
28089,16
28091,47
28093,23
28095,10
28097,22
28123,298
28145,18
28149,34
28151,40
28153,9
28155,58
29001,17
29015,37
29019,26
29021,47
29023,22
29033,94
29037,18
29039,37
29047,16
29049,99
29055,30
29059,94
29071,22
29077,19
29079,24
29081,34
29083,42
29089,20
29095,31
29097,53
29099,15
29101,269
29115,401
29123,16
29127,47
29137,10
29139,22
29167,623
29201,298
29205,27
29219,34
29221,40
29223,9
29225,58
29227,13
29229,14
30043,15
30057,16
31001,4
31011,26
31023,22
31025,18
31027,37
31035,16
31061,22
31081,13
31093,20
31095,15
31097,269
31119,16
31143,623
31165,67
31177,40
31179,9
31181,58
32013,14
32019,19
33003,94
34039,18
34041,34
35059,18
36019,99
36025,40
36033,22
36039,19
36041,13
36045,15
36053,16
36055,10
36057,22
36113,34
36115,40
36117,9
37039,36
37043,16
37069,22
37079,19
37099,31
37103,47
37105,51
37115,16
37121,17
37123,22
37149,623
37179,18
37185,34
37187,40
37191,9
38001,4
38017,18
38085,67
39001,4
39017,22
39019,94
39027,99
39033,30
39041,40
39047,25
39049,22
39057,19
39061,13
39063,29
39065,26
39067,34
39069,42
39079,31
39081,15
39095,9
39097,16
39101,47
39111,10
39113,22
39149,27
39159,18
39165,34
39167,40
39169,9
40001,17
40021,36
40041,40
40065,31
40067,15
40095,23
40147,40
41003,37
41029,31
41031,15
41043,401
41047,47
41053,623
41061,18
41067,40
42001,4
42019,22
42035,99
42039,30
42045,40
42051,25
42055,22
42059,19
42065,15
42089,10
42091,22
42119,18
42123,34
42125,40
42127,9
44009,40
45017,20
45021,36
45053,53
45061,51
45067,47
45087,18
46027,16
46071,31
46075,47
46091,23
46127,18
47005,37
47017,94
47027,16
47039,6
47047,25
47051,22
47059,19
47061,24
47065,13
47067,29
47071,26
47079,42
47087,31
47089,15
47091,269
47113,16
47115,47
47117,23
47123,10
47125,22
47139,623
47151,298
47157,27
47173,18
47175,7
47177,34
47179,40
47181,9
48057,20
48067,18
48073,36
48077,16
48113,94
48149,25
48153,23
48159,22
48193,13
48199,26
48203,34
48227,20
48239,31
48241,53
48245,15
48251,269
48253,47
48287,51
48313,16
48315,47
48333,19
48335,17
48339,22
48373,623
48419,27
48441,13
48477,40
49011,9
49053,40
49055,9
50011,22
50023,40
51027,47
51035,94
51043,8
51063,23
51067,22
51079,19
51089,42
51105,51
51109,15
51113,16
51121,22
51139,27
51169,298
51187,34
51191,40
53001,4
53005,37
53021,22
53031,15
54005,26
54013,20
54015,16
54019,25
54029,29
54033,34
54035,31
54037,15
54049,47
54051,23
54063,10
54075,21
54091,13
54099,9
54101,58
55001,4
55023,30
55049,25
55053,31
55055,15
55081,10
55095,623
55119,13
55131,40
55139,29
56013,6
56019,269
