id,name,slug,amount,state,address,city,zip,naics_code,business_type,race,gender,veteran,non_profit,jobs_retained,date_approved,lender,congressional_district,loan_range_sort_key,previous_loan_range,previous_name,loan_number,sba_office_code,processing_method,loan_status,term,sba_guaranty_percentage,initial_approval_amount,current_approval_amount,undisbursed_amount,franchise_name,servicing_lender_location_id,servicing_lender_name,servicing_lender_address,servicing_lender_city,servicing_lender_state,servicing_lender_zip,rural_urban_indicator,hubzone_indicator,business_age_description,project_city,project_county_name,project_state,project_zip,utilities_proceed,payroll_proceed,mortgage_interest_proceed,rent_proceed,refinance_eidl_proceed,health_care_proceed,debt_interest_proceed,originating_lender_city,originating_lender_state,loan_status_date,originating_lender_location_id,old_slug,lmi_indicator,unmatched_original,unmatched_updated,previous_jobs_reported,ethnicity,forgiveness_amount,forgiveness_date
99522481,MICHAEL BAKER,michael-baker-7402998903,20805,MD,10207 Baltimore Ave Apt 8205,College Park,20740-4250,561730,Self-Employed Individuals,Unanswered,Male Owned,Veteran,NA,1,2021-05-07,Benworth Capital,MD-05,NA,NA,NA,7402998903,353,PPP,Exemption 4,60,100,20805,20805,0,NA,529192,Benworth Capital,7000 SW 97th Avenue Suite 201,Miami,FL,33173,U,N,Existing or more than 2 years old,College Park,PRINCE GEORGES,MD,20740-4250,NA,20805,NA,NA,NA,NA,NA,Miami,FL,NA,529192,NA,Y,NA,NA,NA,Unknown/NotStated,NA,NA
93776891,MILK AND HONEY CAFE LLC,milk-and-honey-cafe-llc-3653528408,150000,MD,9603 Milestone Way Ste 201,College Park,20740-4365,722514,Limited  Liability Company(LLC),American Indian or Alaska Native,Female Owned,Non-Veteran,NA,25,2021-02-05,"Capital Bank, National Association",MD-05,NA,NA,NA,3653528408,353,PPS,Exemption 4,60,100,150000,150000,0,NA,124055,"Capital Bank, National Association",2275 Research Blvd Ste 600,ROCKVILLE,MD,20850-6238,U,N,Existing or more than 2 years old,College Park,PRINCE GEORGES,MD,20740-4365,1,149995,NA,NA,NA,NA,NA,ROCKVILLE,MD,NA,124055,NA,N,NA,NA,NA,Not Hispanic or Latino,NA,NA
99454957,BURHAN ENTERPRISES INC.,burhan-enterprises-inc-1756847309,91100,MD,7423 Baltimore Ave.,College Park,20740,445291,Corporation,Unanswered,Female Owned,Non-Veteran,NA,20,2020-04-28,Truist Bank d/b/a Branch Banking & Trust Co,MD-05,NA,NA,NA,1756847309,353,PPP,Paid in Full,24,100,91100,91100,0,NA,225134,Truist Bank d/b/a Branch Banking & Trust Co,214 N Tryon St,CHARLOTTE,NC,28202-1078,U,Y,Existing or more than 2 years old,College Park,PRINCE GEORGES,MD,20740-1047,NA,91100,NA,NA,NA,NA,NA,CHARLOTTE,NC,2021-03-18,225134,NA,N,NA,NA,NA,Not Hispanic or Latino,91836.39,2021-02-23
99463671,UNIVERSITY UNITED METHODIST CHURCH,university-united-methodist-church-1707378103,65382.5,MD,3621 Campus Dr,College Park,20740-3116,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,TRUE,5,2020-07-10,"Virginia United Methodist CU, Inc d/b/a The United Methodist CU",MD-05,NA,NA,NA,1707378103,353,PPP,Paid in Full,60,100,65382.5,65382.5,0,NA,107418,"Virginia United Methodist CU, Inc d/b/a The United Methodist CU",10330 Staples Mill Rd,GLEN ALLEN,VA,23060-3251,U,N,Existing or more than 2 years old,College Park,PRINCE GEORGES,MD,20740-3116,5382.5,60000,NA,NA,NA,NA,NA,GLEN ALLEN,VA,2021-05-19,107418,NA,N,NA,NA,NA,Unknown/NotStated,65781.96,2021-02-23
99569327,KYNDELLE REYES,kyndelle-reyes-1236628904,10627,MD,9124 51st Pl,College Park,20740-1909,441310,Self-Employed Individuals,Unanswered,Unanswered,Unanswered,NA,1,2021-04-24,Benworth Capital,MD-05,NA,NA,NA,1236628904,353,PPP,Exemption 4,60,100,10627,10627,0,NA,529192,Benworth Capital,7000 SW 97th Avenue Suite 201,Miami,FL,33173,U,Y,Existing or more than 2 years old,College Park,PRINCE GEORGES,MD,20740-1909,NA,10627,NA,NA,NA,NA,NA,Miami,FL,NA,529192,NA,Y,NA,NA,NA,Unknown/NotStated,NA,NA
99614667,CLASS 520 COLLEGE PARK INC,class-520-college-park-inc-3204448206,2067,MD,3711 B Campus Dr,College Park,20740,722513,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,5,2020-08-04,"Capital One, National Association",MD-05,NA,NA,NA,3204448206,353,PPP,Paid in Full,60,100,2067,2067,0,NA,28811,"Capital One, National Association",1680 Capital One Dr,MCLEAN,VA,22102-3407,U,N,New Business or 2 years or less,College Park,PRINCE GEORGES,MD,20740-1047,NA,2067,NA,NA,NA,NA,NA,MCLEAN,VA,2021-03-18,28811,NA,N,NA,NA,NA,Unknown/NotStated,2076.7,2021-02-10
99601411,"APPRECIATION MOMENTS, LLC",appreciation-moments-llc-9710687201,4500,MD,4804 Iroquois St,College Park,20740,541611,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,NA,1,2020-04-28,"Capital One, National Association",MD-05,NA,NA,NA,9710687201,353,PPP,Exemption 4,24,100,4500,4500,0,NA,28811,"Capital One, National Association",1680 Capital One Dr,MCLEAN,VA,22102-3407,U,N,New Business or 2 years or less,College Park,PRINCE GEORGES,MD,20740-1047,NA,4500,NA,NA,NA,NA,NA,MCLEAN,VA,NA,28811,NA,N,NA,NA,NA,Unknown/NotStated,NA,NA
99444336,TECH FORMULA INC.,tech-formula-inc-4525089000,145280,MD,Baltimore Avenue 300,College Park,20740,541618,Corporation,Unanswered,Unanswered,Unanswered,NA,10,2021-05-20,"Leader Bank, National Association",MD-05,NA,NA,NA,4525089000,353,PPP,Active Un-Disbursed,60,100,145280,145280,145280,NA,262380,"Leader Bank, National Association",180 Massachusetts Ave,ARLINGTON,MA,02474-8448,U,N,Existing or more than 2 years old,College Park,PRINCE GEORGES,MD,20740,1,145275,NA,NA,NA,NA,NA,ARLINGTON,MA,2021-05-20,262380,NA,Y,NA,NA,NA,Unknown/NotStated,NA,NA
99462781,CBG COLLEGE PARK LLC,cbg-college-park-llc-1059438610,67600,MD,4211 Knox Rd,College Park,20740-3111,722513,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,15,2021-03-12,Sandy Spring Bank,MD-05,NA,NA,NA,1059438610,353,PPS,Exemption 4,60,100,67600,67600,0,Dunkin' Donuts,30872,Sandy Spring Bank,17801 Georgia Ave,OLNEY,MD,20832-2233,U,Y,Existing or more than 2 years old,College Park,PRINCE GEORGES,MD,20740-3111,1,67597,NA,NA,NA,NA,NA,OLNEY,MD,NA,30872,NA,Y,NA,NA,NA,Unknown/NotStated,NA,NA
99549190,FRANCIS IFEACHO,francis-ifeacho-7029688709,15619.17,MD,5006 Fox St,College Park,20740-1717,236118,Sole Proprietorship,Unanswered,Unanswered,Unanswered,NA,1,2021-04-05,American Lending Center,MD-05,NA,NA,NA,7029688709,353,PPP,Exemption 4,60,100,15619.17,15619.17,0,NA,530223,American Lending Center,"1 World Trade Center, Suite 1130",Long Beach,CA,90831,U,Y,Existing or more than 2 years old,College Park,PRINCE GEORGES,MD,20740-1717,1,15616.17,NA,NA,NA,NA,NA,Long Beach,CA,NA,530223,NA,Y,NA,NA,NA,Unknown/NotStated,NA,NA
